customer_id,churn_risk_score,contract,tenure_months,monthly_charges,churn
CUST00000,0.5610673238084999,Month-to-month,10,107.02,No
CUST00001,0.34441985336776076,Two year,12,64.94,Yes
CUST00002,0.20134830009901405,One year,38,44.55,No
CUST00003,0.42461683530791794,One year,8,68.08,No
CUST00004,0.609057294166685,Month-to-month,40,51.24,Yes
CUST00005,0.6822362343833145,Month-to-month,1,49.58,Yes
CUST00006,0.47002073012436846,Month-to-month,29,75.83,Yes
CUST00007,0.22316731851688945,Two year,37,24.91,No
CUST00008,0.4957072084787238,One year,4,28.9,No
CUST00009,0.42696672377840406,One year,11,65.48,No
CUST00010,0.6661373655374032,Month-to-month,3,64.44,Yes
CUST00011,0.29270191220723973,Two year,24,73.59,No
CUST00012,0.3034817569941849,Two year,15,111.88,No
CUST00013,0.43112727369791437,Month-to-month,20,67.61,No
CUST00014,0.708012460612236,Month-to-month,4,79.95,Yes
CUST00015,0.5550554466738933,Month-to-month,4,40.61,No
CUST00016,0.45203903705046145,Month-to-month,0,84.2,No
CUST00017,0.37438415645727724,Month-to-month,7,51.84,No
CUST00018,0.4221127662669722,Month-to-month,16,66.79,No
CUST00019,0.5469236157948667,Month-to-month,39,62.28,No
CUST00020,0.4262366463135078,One year,21,90.82,No
CUST00021,0.49851123521254964,Month-to-month,11,32.25,Yes
CUST00022,0.3552723277062413,Month-to-month,61,18.0,No
CUST00023,0.5553825243868121,Month-to-month,25,59.66,No
CUST00024,0.2843964966915902,Month-to-month,53,76.71,No
CUST00025,0.23954816352935854,One year,14,68.81,No
CUST00026,0.7489503092813419,Month-to-month,5,95.81,Yes
CUST00027,0.7047391076751168,Month-to-month,1,75.93,Yes
CUST00028,0.40834913043347365,One year,25,50.9,Yes
CUST00029,0.5705184403361675,Month-to-month,2,18.0,No
CUST00030,0.26152964174041676,One year,7,59.07,No
CUST00031,0.5962031061006448,Month-to-month,15,90.7,No
CUST00032,0.3596070029840176,Month-to-month,16,55.2,No
CUST00033,0.21790538163887008,Two year,18,65.71,No
CUST00034,0.4435750807982634,Two year,3,75.53,No
CUST00035,0.3170707953784477,Two year,9,39.62,No
CUST00036,0.6123280571182736,Month-to-month,19,80.58,Yes
CUST00037,0.179107071128389,Month-to-month,70,105.93,No
CUST00038,0.30369288725282934,One year,26,60.68,No
CUST00039,0.3402261250298098,Month-to-month,51,36.77,No
CUST00040,0.45503721139416287,Month-to-month,28,63.33,Yes
CUST00041,0.3845940783376235,Month-to-month,17,18.0,No
CUST00042,0.5682921635883376,Month-to-month,4,73.42,No
CUST00043,0.32567155700863565,Two year,21,76.31,No
CUST00044,0.6401519601437478,Month-to-month,19,106.89,Yes
CUST00045,0.2967254552290375,One year,18,60.15,No
CUST00046,0.46502902281387615,Month-to-month,13,75.21,No
CUST00047,0.42640677891262596,Month-to-month,15,43.47,No
CUST00048,0.5464909500654567,Month-to-month,8,56.09,Yes
CUST00049,0.37612440081385334,Month-to-month,14,26.87,No
CUST00050,0.4827097034275327,Two year,4,60.13,No
CUST00051,0.30449227699873677,One year,32,57.37,No
CUST00052,0.39553965603583335,Two year,4,72.48,No
CUST00053,0.44181737418155104,Two year,1,49.41,No
CUST00054,0.3461873314874617,One year,11,67.08,No
